" "," ",module,Magento_ImportExport
"%1 Reward points","%1 Spaarpunten",module,Magento_Reward
"%1 Reward points (%2)","%1 spaarpunten (%2)",module,Magento_Reward
"%1 [%2]","%1 %2",module,Magento_GiftCard
"%1 and above","%1 en hoger",module,Magento_Catalog
"%1 and greater","%1 en groter",module,Magento_CatalogSearch
"%1 cache type(s) disabled.","%1 cache type(s) uitgeschakeld.",module,Magento_Backend
"%1 cache type(s) enabled.","cache type(s) %1 ingeschakeld.",module,Magento_Backend
"%1 cache type(s) refreshed.","cache type(s) %1 ververst.",module,Magento_Backend
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 heeft de kredietvaluta gewijzigd van %2 in %3 bij de conversie koers van %2 /%3 %4.",module,Magento_CompanyCredit
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 class implementeert \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface niet",module,Magento_AdvancedRule
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 klasse implementeert niet \Magento\Payment\Model\MethodInterface",module,Magento_Payment
"%1 contains non-numeric characters.","%1 bevat niet-numerieke karakters.",module,Magento_Customer
"%1 could not be added to the ""%2"" requisition list.","%1 kon niet worden toegevoegd aan de ""%2"" bestellijst.",module,Magento_RequisitionList
"%1 could not be added to the requisition list.","%1 kon niet worden toegevoegd aan de """" bestellijst.",module,Magento_RequisitionList
"%1 coupon(s) have been generated.","%1 coupon(s) zijn aangemaakt.",module,Magento_SalesRule
"%1 does not contain field '%2'","%1 bevat geen veld '%2'",module,Magento_Theme
"%1 does not contain field 'file'","%1 bevat geen veld 'file'",module,Magento_Theme
"%1 does not implement %2","%1 is geen implementatie van %2",module,Magento_Deploy
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 breidt zich niet uit in \Magento\Catalogus\Model\Laag\Filter\Dynamisch\AlgorithmInterface",module,Magento_Catalog
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 breidt zich niet uit in \Magento\Catalogus\Model\ResourceModel\Product\Indexer\Prijs\StandaardPrijs",module,Magento_Catalog
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 breidt zich niet uit in \Magento\Checkout\KlantData\ItemInterface",module,Magento_Checkout
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 breidt zich niet uit in \Magento\Klant\Klantdata\SectieBronInterface",module,Magento_Customer
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 breidt zich niet uit in \Magento\Framework\Filter\Template",module,Magento_Catalog
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 breidt zich niet uit in \Magento\Catalogus\Model\Laag\Filter\AbstractFilter",module,Magento_Catalog
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 breidt zich niet uit in \Magento\Catalogus\Model\Product\Optie\Type\DefaultType",module,Magento_Catalog
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 breidt zich niet uit in \Magento\Catalogus\Model\Product\Type\AbstractType",module,Magento_Catalog
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 breidt zich niet uit in \Magento\Catalogus\Model\Product\Type\Prijs",module,Magento_Catalog
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 breidt zich niet uit in \Magento\Framework\Model\AbstractModel",module,Magento_Catalog
"%1 doesn't implement CustomizableOptionValueInterface","%1 implementeert CustomizableOptioneValueInterface niet",module,Magento_QuoteGraphQl
"%1 doesn't implement SortInterface","%1 implementeert geen SortInterface",module,Magento_VisualMerchandiser
"%1 email(s) were sent.","%1 email(s) zijn verzonden.",module,Magento_GiftRegistry
"%1 for ""%2""","%1 voor ""%2""",module,Magento_MultipleWishlist
"%1 for ""%2"".","%1 voor ""%2"".",module,Magento_Wishlist
"%1 for %2","%1 voor %2",module,Magento_Sales
"%1 for item %2 cannot be empty.","%1 voor item %2 mag niet leeg zijn.",module,Magento_Rma
"%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list.","%1 is toegevoegd aan de ""<a href=""%2"">%3</a>"" bestellijst.",module,Magento_RequisitionList
"%1 has been added to your Wish List.","%1 is toegevoegd aan uw verlanglijst.",module,Magento_Wishlist
"%1 has been moved to your wish list.","%1 is op je verlanglijst geplaatst.",module,Magento_Wishlist
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List.",module,Magento_Wishlist
"%1 has been updated in your Wish List.","%1 is op je verlanglijst geupdatet.",module,Magento_Wishlist
"%1 has been updated in your requisition list.","%1 is bijgewerkt in uw bestellijst.",module,Magento_RequisitionList
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 heeft zijn kredietlimiet (%2) met %3 overschreden. Het uitstaande saldo, inclusief deze bestelling, bedraagt momenteel %4.",module,Magento_CompanyCredit
"%1 has reached a quantity of %2.","%1 heeft een hoeveelheid van %2 bereikt.",module,Magento_Catalog
"%1 index is locked by another reindex process. Skipping.","%1 indexer is vergrendeld door een ander indexeringsproces. Wordt overgeslagen.",module,Magento_Indexer
"%1 indexer(s) are in ""Update by Schedule mode.""","%1 indexer(s) zijn in ""Update op schema"" modus.",module,Magento_Indexer
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) staan in ""Volgens schema bijwerken"" modus.",module,Magento_Indexer
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) are in ""Update op Opslaan"" modus.",module,Magento_Indexer
"%1 indexer(s) were invalidated.","%1 indexer(s) were invalidated.",module,Magento_Indexer
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 uitnodiging(en) zijn niet verzonden, omdat er reeds klantaccounts bestaan voor deze e-mailadressen.",module,Magento_Invitation
"%1 is available to buy in increments of %2","%1 is beschikbaar om te kopen in verhogingen van %2",module,Magento_CatalogInventory
"%1 is disabled when the available credit is less than the Order Grand Total.","%1 is disabled when the available credit is less than the Order Grand Total.",module,Magento_CompanyCredit
"%1 is not a correct comparison method.","%1 is geen juiste vergelijkingsmethode.",module,Magento_CatalogInventory
"%1 is not a valid file","%1 is not a valid file",module,Magento_ImportExport
"%1 is not an allowed file type. Please select a different file.","%1 is not an allowed file type. Please select a different file.",module,Magento_NegotiableQuote
"%1 is required.","%1 is verplicht.",module,Magento_CatalogEvent
"%1 item(s) are currently being updated.","%1 item(s) worden momenteel bijgewerkt.",module,Magento_AsynchronousOperations
"%1 item(s) failed to update","%1 object(en) niet gelukt om te updaten",module,Magento_AsynchronousOperations
"%1 item(s) have been added to the gift registry.","%1 product(en) heeft u toegevoegd aan het cadeauregister.",module,Magento_GiftRegistry
"%1 item(s) have been scheduled for update.","%1 object(en) zijn gepland voor update.",module,Magento_AsynchronousOperations
"%1 item(s) have been scheduled for update.""","%1 object(en) zijn gepland voor update.""",module,Magento_AsynchronousOperations
"%1 item(s) have been successfully updated.","%1 object(en) zijn succesvol bijgewerkt.",module,Magento_AsynchronousOperations
"%1 item(s) need your attention.","%1 producten(en) vereisen uw aandacht.",module,Magento_AdvancedCheckout
"%1 item(s) were added to the ""%2""","%1 artikel(en) werden toegevoegd naar ""%2""",module,Magento_RequisitionList
"%1 item(s) were copied to %2","%1 artikel(en) werden gekopieerd naar %2",module,Magento_RequisitionList
"%1 item(s) were moved to %2","%1 artikel(en) werden verwijderd van %2",module,Magento_RequisitionList
"%1 items","%1 items",module,Magento_Wishlist
"%1 items are already present in %2: %3.","%1 artikelen zijn reeds beschikbaar in %2: %3.",module,Magento_MultipleWishlist
"%1 items cannot be moved: %2.","%1 artikelen kunnen niet verplaatst worden: %2.",module,Magento_MultipleWishlist
"%1 items in wish list","%1 artikelen in de verlanglijst",module,Magento_MultipleWishlist
"%1 items selected for mass update","%1 items geselecteerd voor mass update",module,Magento_AsynchronousOperations
"%1 items were copied to %2: %3.","%1 artikelen werden gekopieerd naar %2: %3.",module,Magento_MultipleWishlist
"%1 items were moved to %2: %3.","%1 artikelen werden verplaatst naar %2: %3.",module,Magento_MultipleWishlist
"%1 length must be equal or greater than %2 characters.","%1 lengte moet gelijk of groter zijn dan %2 karakters.",module,Magento_Customer
"%1 length must be equal or less than %2 characters.","%1 lengte moet gelijk of groter dan %2 karakters.",module,Magento_Customer
"%1 made an update. %2 can exceed the Credit Limit.","%1 heeft een update gemaakt. %2 kan de kredietlimiet overschrijden.",module,Magento_CompanyCredit
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 heeft een update gemaakt. %2 kan de kredietlimiet niet overschrijden.",module,Magento_CompanyCredit
"%1 must implement %2","%1 moet %2 implementeren",module,Magento_Signifyd
"%1 order(s) cannot be canceled.","%1 order(s) kunnen niet worden geannuleerd.",module,Magento_Sales
"%1 order(s) have been released from on hold status.","%1 orders zijn vrijgelaten van de hold status.",module,Magento_Sales
"%1 order(s) were not put on hold.","%1 order(s) werden niet op hold gezet.",module,Magento_Sales
"%1 order(s) were not released from on hold status.","%1 order(s) werden niet vrijgelaten uit de hold status.",module,Magento_Sales
"%1 product requires your attention.","%1 product vereist uw aandacht.",module,Magento_AdvancedCheckout
"%1 product(s) have been added to shopping cart: %2.","%1 product(en) is (zijn) aan je winkelwagen toegevoegd: %2.",module,Magento_Wishlist
"%1 products require your attention.","%1 producten vereisen uw aandacht.",module,Magento_AdvancedCheckout
"%1 products require your attention. Please contact the Seller if you have any questions.","%1 producten vereisen uw aandacht. Neem contact op met de verkoper als u vragen hebt.",module,Magento_NegotiableQuote
"%1 should implement %2","%1 moet %2 implementeren",module,Magento_Store
"%1 spent = %2 earned","%1 besteed = %2 verdiend",module,Magento_Reward
"%1 store reward points available","%1 winkel spaarpunten beschikbaar",module,Magento_Reward
"%1 store reward points available (%2)","%1 winkel spaartpunten beschikbaar (%2)",module,Magento_Reward
"%1 was deducted because of refund.","%1 werd in mindering gebracht vanwege terugbetaling.",module,Magento_Reward
"%1 was not found in algorithms","%1 is niet gevonden in de algoritmen",module,Magento_Catalog
"%1 was updated in your shopping cart.","%1 is geupdatet in je winkelwagen.",module,Magento_Checkout
"%1 with %2 discount each","%1 met %2 korting",module,Magento_Sales
"%1 x %2","%1 x %2",module,Magento_Bundle
"%1"" cannot contain more than %2 lines.""","%1"" mag niet meer dan %2 lijnen bevatten.""",module,Magento_Eav
"%1"" contains non-alphabetic characters.""","%1"" bevat niet-alfabetische karakters.""",module,Magento_Eav
"%1"" contains non-alphabetic or non-numeric characters.""","%1"" bevat niet-alfabetische of niet-numerieke karakters.""",module,Magento_Eav
"%1"" contains non-numeric characters.""","%1"" bevat niet-numerieke karakters.""",module,Magento_Eav
"%1"" coupon code is not valid.""","%1"" couponcode is niet geldig.""",module,Magento_Sales
"%1"" does not fit the entered date format.""","%1"" past niet in het formaat van de ingevoerde datum.""",module,Magento_Eav
"%1"" exceeds the allowed file size.""","%1"" is groter dan de toegestande bestandsgrootte.""",module,Magento_Eav
"%1"" height exceeds allowed value of %2 px.""","%1"" hoogte is groter dan de toegestane waarde van %2 px.""",module,Magento_Eav
"%1"" invalid type entered.""","%1"" ongeldig type ingevoerd.""",module,Magento_Eav
"%1"" is a required value.""","%1"" is een vereiste waarde.""",module,Magento_Eav
"%1"" is an empty string.""","%1"" is een lege string.""",module,Magento_Eav
"%1"" is not a valid URL.""","%1"" is geen geldige URL.""",module,Magento_Eav
"%1"" is not a valid date.""","%1"" is geen geldige datum.""",module,Magento_Eav
"%1"" is not a valid email address.""","%1"" is geen geldig e-mailadres.""",module,Magento_Eav
"%1"" is not a valid file extension.""","%1"" is geen geldige bestandsextensie.""",module,Magento_Eav
"%1"" is not a valid file.""","%1"" is geen geldig bestand.""",module,Magento_Eav
"%1"" is not a valid hostname.""","%1"" is geen geldige hostnaam.""",module,Magento_Eav
"%1"" is not a valid image format""","%1"" is geen geldig afbeeldingsformaat""",module,Magento_Eav
"%1"" is not a valid image format.""","%1"" is geen geldig afbeeldingsformaat.""",module,Magento_Customer
"%1"" length must be equal or greater than %2 characters.""","%1"" lengte moet groter of gelijk zijn aan %2 karakters.""",module,Magento_Eav
"%1"" length must be equal or less than %2 characters.""","%1"" lengte moet kleiner of gelijk zijn aan %2 karakters.""",module,Magento_Eav
"%1"" section source is not supported""","%1"" sectie bron is niet ondersteund""",module,Magento_Customer
"%1"" uses too many characters.""","%1"" gebruikt te veel karakters.""",module,Magento_Eav
"%1"" width exceeds allowed value of %2 px.""","%1"" breedte is groter dan de toegestane waarde van %2 px.""",module,Magento_Eav
%1%,%1%,module,Magento_NegotiableQuote
"%1's Wish List","%1's verlanglijst",module,Magento_Wishlist
"%1's Wish List (%2)","%1's Verlanglijst (%2)",module,Magento_MultipleWishlist
"%1's Wishlist","%1's verlanglijst",module,Magento_Wishlist
"%1's account has been set to Inactive.","%1's account has been set to Inactive.",module,Magento_Company
"%1: Instance of %2 is expected, got %3 instead","%1: Instance van %2 is verwacht, kreeg %3",module,Magento_Config
"%1: Line %2","%1: Line %2",module,Magento_Checkout
"%admin has invited you to join %company, click the link below to accept","%admin has invited you to join %company, click the link below to accept",module,Magento_Company
"%company_name account reimbursed","%company_name account terugbetaald",module,Magento_CompanyCredit
"%company_name credit limit updated","%company_name kredietlimiet bijgewerkt",module,Magento_CompanyCredit
"%creator (for %customer)","%creator (voor %customer)",module,Magento_NegotiableQuote
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wil dit verlanglijstje van %store_name met je delen:",module,Magento_Wishlist
"%customer_name,","%customer_name,",theme,frontend/Magento/luma
"%fileType is not an allowed file type. Please select a different file.","%fileType is geen toegestaan bestandstype. Selecteer een ander bestand.",module,Magento_NegotiableQuote
"%merchant_name,","%merchant_name,",module,Magento_NegotiableQuote
"%name,","%name,",theme,frontend/Magento/luma
"%operation_name - Scheduled Export Failed","%operation_name - Geplande import is mislukt",module,Magento_ScheduledImportExport
"%operation_name - Scheduled Import Failed","%operation_name - Geplande import is mislukt",module,Magento_ScheduledImportExport
%quote_id,%quote_id,module,Magento_NegotiableQuote
"%s SKU(s) processed successfully","%s art.nr.(s) verwerkt",module,Magento_VisualMerchandiser
"%s of %s selected","%s van %s geselecteerd",module,Magento_B2b
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender heeft u een cadeaukaart gestuurd voor gebruik op <a href=""%store_url"">%store_name</a> en deze kan nu gebruikt worden voor aankopen.",module,Magento_GiftCard
"%sender_name wants to share this product with you:","%sender_name wil dit product graag met je delen:",module,Magento_SendFriend
"%status (%count in backlog)","%status (%count in backlog)",module,Magento_Indexer
%store_name,%store_name,module,Magento_NegotiableQuote
"%store_name  - Scheduled Import Failed","%store_name - Geplande import is mislukt",module,Magento_ScheduledImportExport
"%store_name - Scheduled Export Failed","%store_name - Geplande export is mislukt",module,Magento_ScheduledImportExport
"%store_name : New Return #%increment_id","%store_name: Nieuwe retour #%increment_id",module,Magento_Rma
"%store_name offers limited time sales of products only to members.","%store_name biedt tijdelijke koopjes aan voor leden.",module,Magento_Invitation
"%store_name:  New customer comment","%store_name: Nieuwe klantopmering",module,Magento_Rma
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id",module,Magento_Rma
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update",module,Magento_Rma
"&copy; Magento Commerce Inc., %1","© Magento Commerce Inc., %1",module,Magento_Support
&nbsp;,&nbsp;,module,Magento_Braintree
"'%1' file extension is not supported","'%1' bestandsextensie is niet ondersteund",module,Magento_ImportExport
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' lijkt een DNS hostnaam te zijn, maar de gegeven punycode notatie kan niet worden gedecodeerd.",module,Magento_Eav
"'%value%' does not look like a valid local network name.","'%value%' lijkt niet op een geldige lokale netwerknaam.",module,Magento_Eav
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' lijkt op een DNS hostnaam maar kan het TLD gedeelte niet uitpakken.",module,Magento_Eav
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' lijkt op een DNS hostnaam maar bevat een streepje op een ongeldige positie.",module,Magento_Eav
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' lijkt op een DNS hostnaam maar kunnen we niet matchen met een hostnaam schema voor TLD '%tld%'.",module,Magento_Eav
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' lijkt op een DNS hostnaam maar kunnen we de TLD niet matchen met de bekende lijst.",module,Magento_Eav
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' lijkt op een lokale netwerknaam en heeft geen acceptabel formaat.",module,Magento_Eav
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' lijkt op een IP-adres en is geen geldig formaat.",module,Magento_Eav
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - komt overeen met; 'Xyz *' - komt overeen met een begin op 'xyz' en zijn niet langer dan 1%.",module,Magento_Tax
"'Action Details - #' .","'Actie Details - #'.",module,Magento_AsynchronousOperations
"'Add New ' .","'Nieuwe toevoegen ' .",module,Magento_Ui
"'Cannot create the B2B quote.' .","'Kan de B2B offerte niet aanmaken.'.",module,Magento_NegotiableQuote
"'Entity type model must be an instance of ' .","'Entiteit type model moet een exemplaar zijn van'.",module,Magento_CatalogImportExport
"'Error in CSV: ' .","'Error in CSV: ' .",module,Magento_ImportExport
"'Gateway error: ' .","'Gateway foutmelding: ' .",module,Magento_Authorizenet
